created_at,description,category
Would request the authorities to provide more garbage bins since everyone is throughing all the garbage on the road and it is cleaned only at night. So the garbage is on the road is for the entire road. And during monsoons it\'s just on the right and spread across,Garbage bins,Garbage
"Road is narrow and huge truck ,bus ,car,auto and two wheelers pass from that road but due to bad condition of road vhecles are moving slow which create trafic \n So kondly please look into this and help us by rebuilding road with he help proper engineer",Huge traffic due to bad road,Potholes
Water problem in our area.,Frequently water issue,Water
The mangroves below our building which somehow are still surviving as the last patch of green are daily used as toilets for local slums and passer by pedestrians...they say they are many and there aren\'t enough Bmc toilets around so they will continue this as their BIRTH RIGHT ... And that\'s the story around @ saving our planet,Toilets in the greens,Toilets
Dustbins are kept on locations but not maintained properly and are located middle of the road.,Dustbin not properly maintained,Garbage
"When our area established before 10 years, builder also planted light poles at side of road, but yet no single light attached to it. And some poles are started falling down.",No lights attached only poles standed from years,Traffic
Hello since months we have been suffering from foul odour coming out of garbage which has been there near my society it is difficult to walk on the streets with such garbage around it stinks so badly hardly you can even tolerate..so its my request to clean up it as early...even there are cows in my area but when i see them eating in that garbage in plastic bags it breaks my heart..i already lodged compalint in BMC and they said they have cleaned up but thats not the case its still there and nothing has been done properly.,Lifting up garbage and cleaning footpaths,Garbage
Plenty of spots in seven bungalows to versova area are full of filthy n stinky garbage.Kindly do something asap.,Filthy Garbage,Garbage
Shield and rebbies dropped at garbage platform also Datak casting employee throw garbage on platform instead of garbage box,Shield and rebbies dropped at garbage platform,Garbage
So much garbage and less garbage storage,Garbage,Garbage
Highway is like a kides garden... and a new driver can never know which part of road has deep....\n\nAnd a person haveing tambaco and splits out of the public bus,Highway potholes issue,Potholes
"GARBAGE IS BEING DUMPED ON ALL 3 SIDES OF MY HOME FRONT, LEFT & RIGHT, NO ONE IS INTERESTED TO CLEAN/STOP IT.",GARBAGE DUMPED,Garbage
"NEW AGRIPADA , SANTACRUZ EAST WARD NO. 81 KE IDHAR EK SAGAR WINE SHOP HAI. USKE SAMKE HI LOK DARU PITE HAI . AUR WAHA PE DO MACCHI FRY WALE BAITHATE HAI . WAHA SE CHALTE WAQT O SAB AAKHA ME CHALA JATA HAI .. AUR EK IMPORTANT BAAT YE HAI KI VAHA SE LEADIES KO JANE ME BAHUT PARESHANI HOTI HAI SAB WAHA PE DARU PIYE HUYE GENTS LOK HOTE HAI .. YE AGAR AAPAKE DWARA BAND HO SAKATA HAI TO BAHOTI ACCHA HO JAYEGA\n\nTHANKS,",GARBAGE AND BEHIND WINE SHOP ROAD,Garbage
I am staying in this area since last 55 years and am 86 years old and my problem is that even though Shivaji Park area is a silence zone but stray dogs keep barking whole night and one can not get sleep. I find some ladies come in their car with lots of food for the stray dogs and feed them during afternoon time. Stray Dogs enjoy food brought in the car so why they should leave this place. BMC has stopped even catching them. The nuisance is increasing day by day. Any action? I shall send the photo of the dogs next time. thanks,Dog barking nuisance during night.,Stray Animals
"Roads are filled with pot-holes. It\'s difficult to drive a car on such roads. Driving a two-wheeler is out of question on such roads. On top of that, to make situation even worse is that vehicles are illegally parked on road side which makes it even more difficult to move around & the near by police station or traffic officials don\'t give a dam about it. But they are eager to get money by catching hold of people on two-wheeler without helmets & they turn a blind eye to such vehicles parked on road side. The complete stretch from Trombay to New Mandala is a pain to drive & the government is ignoring these problems that we face ever since. Also the roads are so dirty & filled with garbage etc. These politicians are quick to fall at our feet when they want votes but after that they just vanish into thin air & are no where to be seen. I hope these problems are resolved at the earliest",Condition of roads have become worse since monsoon,Potholes
The roads are actually missing between Kandivali to Dahisar. Please get them back.,Bad Roads,Potholes
Everyone knows about the traffic issue at Dahisar Check Naka. Why are the authorities turning a blind eye to the traffic jams created because of the Toll naka. If the booth cannot be removed at least provide a solution to keep the traffic moving freely.,Dahisar Cgechk Naka,Traffic
There are lot of potholes in WEH. I reside in Borivali near National Park & daily i commute to Andheri JB Nagar. It took 1 hour+ time to travell around 16 km. The roads are really mess now a days. they are fully surrounded by Potholes. From Borivali to Andheri there might be around 1000 Potholes which ruins every biker & car owners life.\nPls Do some good work BMC......The work which this ppl does is really pathetic & the quality of material they use to build these road are of very low or you can say very cheap in quality.,Life in Potholes !!!!,Potholes
These holes are very dangerous and has caused many accident due to this. Location. When you drive from Gandhinagar to IIT Powai road below gandhi nagar bridge.,There are many pitholes and they are not getting fixed.,Potholes
"Thakur Ground at Thakur Village Kandivali East has become the biggest polluter of noise in Thakur Village.The ground is maintained by Thakur Group of Colleges politically very powerful in the locality.The ground is given on hire\nand throughout the day the blaring of loud speakers have made life miserable for the residents.Playing of filthy film songs,blowing of horns, trumpets and drums have become a everyday affair with the Samta Nagar Police Station and RH South Ward authorities turning a blind eye to the complaints of the residents.As if to mock at us they have now started night cricket with running commentary making even our nights miserable.\nThis in spite of the fact that it is a wholly residential area with a school within 100 mtrs of the ground.All kinds of structures have also comeup on the ground.No solution seems to be forthcoming with residents having resigned to fate.",Noise Pollution,Noise Pollution
The Entire western express highway is riddled with potholes causing traffic congestion all along the roads.. the daily commute which was 45 Mins has now increased to 1Hrs 15mins only because of bad roads.. ( North Bound) Bandra... Santa cruz... Andheri.. Jogeshwari.. Goregaon.. Kandivali.. Borivali.. Dahisar!!,Pathetic road conditions leading to National resource waste,Potholes
Now you no need to go to Himalaya to experience hard tough roads of leh ladakh you can get that exprience in our own western express highway,Western &quot;Slower&quot; Highway,Electricity
"The road from Thakur Village to highway is full of potholes. Especially the road from Hanuman Temple, and Sai Baba temple.",Potholes,Potholes
Horrible craters in Arrey milk colony,Horrible craters (pothole),Potholes
The LBS roads from Bhandup Station to Shangrila is filled with pot holes and shops after the signal which lead to continuous traffic issues and a bad driving experience.,LBS Bottle Neck and POtholes,Potholes
"There is this road name as subhash road in jogeshwari east, as more holes then on moon, not just in monsoon season its the story of all waether, i never seen that raod in good condition.",Pothole complaint,Potholes
Worst roads near bhujale talav. request to make the roads better,Worst roads,Potholes
Mahakali caves road is a complete mess and its in this condition since more than 1year. The garbage is all on the road. Cattles are walking on the same narrow road. Footpath has been occupied by hawkers. Pedestrians are walking on the road. Vehicle has to move very carefully and slowly. There\'s unnecessary pathetic traffic during peak times. The contractors have made some portion of road but left the other side and most part of it in complete mess. No Govt. officials are bothered about their constituency. Doesn\'t look I\'m living in an International city.,Complete messed up road.,Potholes
Many potholes,Potholes,Potholes
"Jogeshwari east subhash road ,there is no road as we can see only potholes every where on subhash road ..",Potholes,Potholes
"Starting from Bhendi Bazaar to Metro, there are countless potholes.",Potholes,Potholes
Horrible conditions of road in Aarey colony and in Mayur Nagar,The condition of roads in Aarey colony and road leading to Royal Palms is PATHETIC!!!!What the hell,Potholes
Light Towers are erected ahead of Traffic Signals thus causing hindrance in viewing of traffic signals at Juhu Lane & Juhu Circle,Light Towers causing hindrance,Electricity
"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",Potholes issue on road,Potholes
"To whomsoever,\n\nThis is with concerns to the numerous potholes that keep increasing day by day, putting peoples lives in danger. I have tagged my residence, outside which there are more than 10-20 hazardous potholes, which collect dirty water as well due to construction sites in the vicinity.\n\nPlease lets put an end to this stupidity of the government screwing us over year after year. Lets put those tax payments in the right place.",Numerous disastrous potholes will kill us soon.,Potholes
The garbage bins at the entrance of the colony are always full people throws garbage around the bins that\'s why the entry point is becoming narrow and narrow day by day.Also there is one old scraped auto lying since years no one is looking at that.Vehicles parked by nearby service centre is also a cause to dirt.,Overflow of garbage,Garbage
There are locals who collect plastic garbage and burns openly. it released a lot of dark smoke around with smell n make the whole area smoky and suffocate. my request is to stop these practices. this plastic can be recycled. strict action is necessary,Air pollution,Air Pollution
Gatar overflow,Garbej,Garbage
Whenever passing by siddhivinayak temple while coming or going towards dadar station there is always conjestion of traffic. I take this route everyday and it is caused because of 3 reasons- 1. there is a petrol station at the junction where people want to pass through. 2. There are 4 lanes which are formed at the traffic light and all then have to become a single lane. 3. The biggest reason is that people want to be picked up and dropped of right at the entrance of the temple.\nBeing mumbai\'s most well-know and visited temple it surprises me that they do not have a pick up and drop point for vehicles.,Why cannot Siddhivinayak temple in Prabhadevi have a pick up &amp; drop area for vehicles?,Garbage
There are many garbage in my area. So plzzzzzz help to clean this,Cleanness,Garbage
I AM REGULER USER OF THIS FLYOVER SINCE ITS START. IT HAS TWO LINE OUT PUT TOWEREDS SV ROAD BUT AT THE JUNCTION OF FLYOVER AND RAMMANDIR ROAD DUE TO WIDE OPEN SPACE TWO LANE CONVERT TO 6 TO 8 LANE OUT PUT WITHIN 50 TO 80 MTER DRIVE. \n\nFIRST WE NEED STOP LINE STRIK SO IF ANY ONE BROKE SIGNLE THIS AREA WILL PUNISED.\n\nWE NEED THERE ROUND ABOUT OF WITH CONTROL OF TWO LANE ONLY SO ALL SIDE WILL BE CANTROL AS WELL AS TRAFIC WILL CANTROL \n\nI NEED FEW VOLIANTER FOR THIS AREA AND I CAN MAKE IT HAPPEN WITHOUT HASSITATION WITH LITTLE AWARE NESS.,REQUIERED ROUND ABOUT AND STRIK STOP LINE WITH FINE,Cleanliness
Dere is garbage disposed off out of my building n da issue is never resolved,Improper disposal of garbage,Garbage
There are many pot holes since 4 to 5 month. but no one is up to the pot holes. Traffic cause due to that road,Pot holes,Potholes
Bad patches of road creates a ruckus for travelers especially bikers who can fall anytime if they go beyond 20-30 kmph on this road. Still our government has been greedy enough to collect toll for such useless roads !\n\nThe whole WEH is a misery to the people and government is just testing the patience of common people.,Worst road to travel on WEH,Potholes
There are 15-20 stray dogs in entire Tilak Nagar. please help by getting vaccination done.,Stary Dogs,Stray Animals
Bad road condition at the exit of SCLR towards Tilak Nagar railway station. Please help,Bad roads at SCLR exit of Tilak Nagar,Potholes
"Mud with rain water gathered outside Building no 106, causing many Mosquitoes, rats and insects.. please help",Mud with water gathered at the sides of foothpath,Potholes
"Western express highway is full poth holes starting from bandra to mira road . Driving during peak hours is like hell , our bastard and ass hole politicians, Bureaucrats , PWD officials , BMC, MMRDA Etc ..and various other agencies who are in charge of maintaining the highway are sleeping in there air conditioned offices.This corrupt bastard politicians beg for our votes and once elected they are busy making money ,, nexus of corrupt politicians and corrupt officials can be seen the way contractors bribe and make a third class roads. We are dealing with a eunuch govt. who is least bothered how people travel in this pothholes riddle roads...govt save this country from corrupt officials and corrupt politicians..",Western highway is riddle with full of poth holes,Potholes
Lot of potholes.,Potholes at the signal causing traffic snarls Jogeshwari,Potholes
"We have less of road and more of potholes across our city... due to potholes traffic is getting worsen day by day... along with that if possible we need to get tied up with SPINE replacement projects(hospitals), so that we can enhance their business.. because in couple of years we gonna have a severe spine issues anyway.... sad to see the condition of my city were tax payers like me has to suffer daily... Our governing bodies should put sign board across the city saying that \""NO SENIORS and NO PREGNANT WOMEN on road especially during rainy, for any injuries, accidents and miscarriages, the System wont be responsible, travel at your own risk\"" :(",Potholes and manholes,Potholes
I have a bike and i face the problem of potholes on road i cant specify the place on every road in mumbai ther is atleast 1 to 3 or more potholes please solve this problem of mumbaikers,Potholes,Potholes
Potholes,Potholes,Potholes
Bad road after Bad road after Bhandup pumping flyover toward Mumbai direction.,Bad road after Bhandup pumping flyover,Potholes
Hi There are Big Pot holes at T junction on JVLR near Vikhroli which can cause a severe damage to biker if not seen pot holes are almost 0.06 inch deepand also on the railway bridge the road is pathetic causing lot of traffic in the morning and evening making it uneasy for commuters to reach office on time.,Pot holes and pathetic road,Potholes
Lot of potholes have been regularly spotted at the junction towards churchgate from Flora fountain and the road from Bombay Highcourt which leads to Churchgate station. They are deep and cause great damage to vehicles and make motorcyclists fall.,Terrible potholes,Potholes
"Dear sir/ma\'am,\n\nIts difficult to walk on dadar public bridge due No street lights on dadar public bridge ,\n\nPlease solve the same.\n\nRegards,\nUmesh lad\n9619328191",No street lights on dadar public bridge,Electricity
"Roads not even in level after completion of road construction in few days not more than a week road washed off , it\'s so dangerous to ride bike on these roads. We can\'t even think of riding bike in rainy days.",No use of new road,Potholes
Our BMC claims that only 32 potholes are left on mumbai road.\nthe road contractor should be given harsh punishment.\nJust after the 1st rainfall the roads are in pathetic condition. They have been washed away.\nand on the other hand our so called BMC is claiming to build the best road in mumbai. If this is the condition of the economic capital of our country I wonder which way our country is moving for development.\nHigh time make our country a better place babus. make it a heaven on earth and not hell.,Pathetic road.,Potholes
Potholes in main road & main market,Potholes,Potholes
SO MANY STRAY DOGS\nNO ONE CAN ENTER THE BUILDING LIKE COURIER BOYS ETC,STRAY DOG,Stray Animals
"Dear Respected ,\n\nPothole on Elphinstone bridge footpath -Mumbai unable to walk ,\n\nSome work has been done but incomplete work.\n\nRequest to you kindly Please resolve it .\n\nRegards,\nUmesh lad\n9619328191",Pothole on Elphinstone bridge footpath -Mumbai,Potholes
"This road (Chunnabhatti Road) leading towards S.V road and Milan Subway is in pathetic condition for many months. No repair work has been carried out by local authorities. The road is filled with potholes its\', almost undriveable. This road is a very important road as it connects the arterial roads of S.V road and Linking Road to the Milan Subway. There is a lot of traffic jam on this road just beacuse of the pathetic condition of the road. This road also helps in releiving the traffic on S.V road while going towards milan subway. I request you to help repair this road as soon as possible.",The road is in pathetic condition!!!,Potholes
Bad road causing slow traffic on the highway. Is is so difficult to maintain road ?,Bad road maintenance,Potholes
There is big pothole on Nawab Tank bridge just before right turn for sandesh bld.,Pothole on bridge,Potholes
Everyday thousands of motorists have to face the brunt of slowing down their vehicles & sometimes slipping off their motorcycles or getting a heavy bump inside their car while driving South-bound from Oberoi Mall. There is practically no road left for vehicles to go below the WEH flyover. The cops look helpless (as always). Authorities have no shame whatsoever. The contractors should be paraded naked on these roads with their faces blacked.,Pathetic Road - full of broken tiles,Potholes
I daily travel on S.V.Road & entire road is with so many potholes that all of us are frustrated so much....We are surprised by state government ignorance towards BJP- Shivsena led BMC who never do good work for city like Mumbai....I strongly suggest Mr.Fadnavis to visit along with us & travel with us on this roads....This is never ending story since so many years ....Why no actions are taken ????,Road with full of Potholes,Potholes
Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes. Potholes,Potholes. And more potholes.,Potholes
I want to complaint about the pathhole on Western express highway near gundawali which are very dangerous for biker as well as other vehicles,Pathhole,Potholes
There are endless amount of potholes from vashi to sion! And from mankhur to kurla! Kindly resolve it as people are getting crashed due to same,Potholes,Potholes
"Roads are disgusting, is this why we pay taxes.",Potholes all over the road,Potholes
In Many area in Arey the road is so damaged that its taking 2 hours during evening time which usually takes 15-20 minutes.,Arey colony Pothole free,Potholes
"There are lot of potholes between above mentioned bus stops, not a small vehicle can pass smoothly by this road",Potholes in Pratiksha nagar (sion koliwada),Potholes
"I see, in most of the locations, at the cross road/ junction road condition is terrible. Even when any new road build/ enhanced, that area is left as it is. This makes the traffic slow down during the 1 minute or so allowed passing time . I believe if these ares would at-least fixed, 15% of traffic jam would be reduced.",Who will fix the connecting area between two roads ?,Potholes
"POTHOLES AND FAVOUR BLOCKS ON LBS ROAD NEAR KANJUR, BHANDUP AND VIKHROLI",POTHOLES ON WHOLE LBS ROAD,Potholes
You can find all day high traffic due to construction of metro and bad roads,To much taffic all day,Traffic
Two street lights are not working since months they sometimes flicker for few minutes and off . Both the streetlights are adjacent so the area goes black. Please look into the matter as many ppl are affected due to this,Street lights not working since 6 months,Electricity
An uneven sewer opening in the middle of the road . Very dangerous i almost lost control of my car when i ran over it,Please rectify this,Cleanliness
When u take right from oberoi mall towards borivali on highway the turn is so small that\'s it creates a huge traffic . And on top autorick n many car n bike park their vahicle which makes the turn more narrow.\nNO PARKING on turning and on highway and incr the road size.,Traffic,Traffic
Befr rain new road were layed on the old roads. Many ppl were happy but as soon as rain arrived the new road was washed off making roads more bad to travel. Old roads looks still strong but the new roads are creating more issue.\n\nQuality of road work is very bad n fraud n corruption in full swing. \n\nNew roads r washed out in 2 showers wht quality is this.,Bad roads,Potholes
Just filling potholes is not important... Levelling the road is needed,Bad and Uneven roads,Potholes
"Hi the road connected to aarey colony is full of potholes its very risky, irritating and painful to drive the 5 km route including the road goes to mayur nagar is very disturb and BMC hasent repaired that road from last 4 years. Kindly help",Potholes Everywhere,Potholes
"The builder has built a build on MHADA plot and hasn\'t yet given up control of the premises and is now constructing more floors on the tenant building.\nYes there is a different tenant building when the rules clearly states that the new and the old redeveloped building should be together.\nThere is constant noice and menace. The whole premises is filthy, gates blocked, parking space is taken up by construction materials.",Construction and Pollution Menace,Traffic
"The road from Sarvodaya hospital towards rifle range road is becoming pathetic day by day because of the water falling from Metro & rain water,the road had got big potholes which leads to back pain while traveling from that road, please make a new concrete road below from where the metro passes",Big potholes &amp; bad road conditions,Potholes
I have never seen such type of roads before.\nIts just not justified in mumbai that such a great grand city like mumbai which is our financial capital!!! Has so worst & deadly roads. Its just unbearable to drive. Its cheap\nGovernment policy.its just insane!!!,Roads are worst &amp; deadly,Potholes
"The entire road while going from jvlr towards seepz main gate, near gate no 3, and on opposite side while coming from seepz main gate turning towards jvlr is a mess filled with potholes",Potholes,Potholes
"Increased travel time by 30 min or more, damage to vehicle",Terrible potholes,Potholes
Road was resurfaced in March 2016. Three drops of rains washed away the top layer. Mind you the old road was much better though not completely even. I\'m,Potholed road,Potholes
Too many patholes and also dangerous..its need to get fixed as early as possible,Too many potholes,Potholes
"The road in front of NG SUNCITY phases 1,2 and 3 was repaired just before the rains in the month of June. Now after rains it has again deteriorated and become worse.",Roads filled with potholes,Potholes
Slows trafic on both sides,Potholes on hindmata flyover,Potholes
The road is in very bad condition and requires repair.,Potholes near Signal,Potholes
The potholes here are so dangerous. They\'re so deep. The lighting is bad so makes it even worse. The whole stretch of road under the vakola highway is bad. Very bad,Dangerous Potholes,Potholes
Theirs always muddy road in rainy days and waste of fruits are all over here and there throughout the year.,Fruit waste and muddy road,Potholes
There are many potholes along this road,Very Bad Road,Potholes
There is no road on that flyover,Bad flyover,Traffic
The road towards d Mart and beyond it is totally in very bad shape. Kindly repair the road.,Road in bad shape.,Traffic
Full road filled with potholes,Pathetic road condition dont know what they do they construct a road with bricks instead of concreat,Potholes
"Being one of busiest national highway, western express highway road is in very bad shape especially between andheri to goregaon. Need to","Potholes, bad roads",Potholes
Plz check this all road \nI am live prabhadevi and prabhadevi to grant road my job way\nSeriously road is full bad,Bad raod of mumbai big mistake on road construction,Potholes
"The road from Vijay Vihar to Powai Vihar is pathetic with lots of potholes, the road was repaired just before the monsoon and it is completely disgruntled in few months.",Horrible roads,Potholes
"Dear sir,maam\nPlease construct the roads proper of mumbai.we are tax payers..we the people of mumbai. We demand you to fix the roads of mumbai,andheri,malad and much more places. Due to potholes we face problems with our vehicle and sometimes people bang with eachother due to potholes here in mumbai. If not treated well with the roads,then i guess no use of paying tax to you govt ppl here in india,mumbai. I have seen Govt people misusing with the money og a common man. Kindly request you to look into our matters soon as possible.",Pothole issues,Potholes
Whole road from borivali station west upto saibaba and upto goregaon need to repair seriously otherwise it will cause many lifes,Road repairing,Potholes
Please repair our roads,About potholes,Potholes
There are a lot of potholes on the western express highway.first of all it is not being maintained properly and after every other 100m there is a pothole and chances are that you would go in it no matter what,Potholes,Potholes
Its feels as if we\'re in some remote are of india. The road conditions are so pathetic because of the substandard work by the municipality. Who is going to pay for all the backaches?,Pathetic road conditions on the junction,Potholes
Our so called local mla\'s and corporators from past 15 years Of BJP in power have jst come here to ask votes and do nothing. There is massive garbage mountain created in the poisar village leading to many king of deadly diseases due open defecation and lack of dustbins . Plz act on it soon as possible if having some shame being an official of the BMC and an indian citizen too.thank you,Garbage museum...,Garbage
It just doesn\'t feel like i\'m driving on an \'express highway\',There are a lot of potholesFortune highway from sion circle to kurla signal.,Potholes
Too risky for Two wheelers and riskshaws to drive,Potholes leading to increasing traffic,Potholes
There are potholes in the entire Stretch of Tareo right from Mumbai Central till Haji Ali. Both sides of the roads are filled with potholes. This creates a lot of traffic and makes it very difficult to drive on that road.,Potholes,Potholes
Due to slums in opposite of our building there is ample of bike and auto rickshaw being Park in front and side of our building gate as well during night time it\'s nuisance please do the needful.,Auto rishta and bike parking,Parking
All across the highway from govandi to panvel,Massive potholes,Potholes
"Near my Area people throw garbage Day and night, Mostly at night on Roads near the bikes and Gates. We don't have permanent Dustbins. Authorities are useless and are not at all bothered. Roads are in the worst conditions potholes and crooked roads. People defecate in the sea, we face lots off problems while breathing and the sea is shit to smell. Plz For the love of God help us!",Throwing Garbage on Roads and in Sea And Open Defecation,Garbage
Kitne sare bade bade Hole\'s hai road pe sctooy slow slow chalana padta hai thoda b fast chalaye toh gir jayenge aur apne hath pair thod lenge plz kuch kariye aa k dekho aap log,Very bad roads conditions,Potholes
"Brijwasi sweets, natural icecream etc has 7 sub tenents under their shop and the same creates lots of dirt, garbage, hapazard parking and blocking of the road.\nEntire eateries opp dmart also creates lots of filth and garbage along with lot and lots of traffic nuisance, \n\nMany hawkers doesnt clean the area of their hawking and this creates lots of garbage,\n\nIllegal parkings of mobile eateries, private car parkings on the roads blocks the road and create huge parking issues along with traffic and honking","Hawkers and Vendors creating lots of nuisance of too much garbage, illegal parking, unauthorized ext",Garbage
Very dirty and unhygeinic place. People throw all kinds of garbage at the same place,Garbage,Garbage
"Today morning after so many years, I visited my opposite building to search a bitten dog to treat him .while searching the dog i saw that the bldg area was cover with garbage I\'m wondering how people are surveying there. As I m a younger and it not my society so can\'t tell then if you would help that will be great !!! . I believe in clean India and green India would be glad if someone will look into this matter . I will also help my best to continue spreading this message and website . \nThank you it\'s a genius taught.",Dumped garbage\'s in the opposite building,Garbage
"I live at Raje shivaji nagar, Tunga gaon, Powai. We have garbage bin made by corporator which is not sufficient for people and hence it results in garbage on road which cause diseases or BMC Garbage collector is not cleaning the bin properly which makes very dirty and remaining garbage comes on road which stuck the road. My humble request to do something about this issue. I have solution that we can keep a big bin till the road where all people will throw a garbage and garbage collector can also collect a garbage properly. Still if people not throw garbage then have to make it strict.",Garbage bin is not sufficient,Garbage
There is lot of garbage all along km munshi marg and are ranganekar marg. the mandatory cleaning of roads is not being done,Km munshi marg and are ranganekar marg not cleaned,Garbage
One speed breaker is broken \nthe road can barely be called a road,Road in super bad condition and it has a open manhole since the last one year,Potholes
"Everywhere pile of Garbage lying around in Lanes, no permanent Dustbins, Bad Air and Smelly Weather. Open Defecation on sea shores, useless Authority having no look out! Plz For the Love of God help us! Jai Hind!","Garbage on Roads, Sea shores , Lanes and Open Defecation",Garbage
The tiling work on the footpath outside our building is very poor and hence it is unsuitable for people to walk on it. My request is to get the tiling work on the footpath as soon as possible so that we residents can use the footpath.,Bad footpath,Traffic
On western express higway from dahisar to bandra,Pothole,Potholes
Potholes,Potholes,Potholes
"The entire area is a victim of noise pollution in and around the Kanderpada, link road area, especially during all festivals and functions throughout the year, with loud noise caused by DJ music, loudspeakers, deafening beating of drums and bursting of crackers. The perpetrators need to be penalised in order to ensure discipline going further.",Noise pollution above permitted decibel limits and late hours,Noise Pollution
Lots of bad roads in the mahim area,Bad roads,Potholes
Potholes all around before toll naka,Potholes,Potholes
"We have a lot of potholes and damaged roads on random locations on entire Sion Panvel Highway.. My car tires busted on one of the potholes near DY Patil Stadium.. The streach has become extremely dangerous for travelers and also caused heavy traffic jams. The link of road near Hyundai showroom which connects Vashi, turbe and Panvel is also damages and is never properly repaired..",Potholes Issue,Potholes
Polution,Garbage,Garbage
It is noticed that road repair is not done in a correct manner and under lack of supervision of expert engineer and or concerned authority.\n\nit is advised to inspect the road repair after completing the work.,Quality of road is very bad,Potholes
"Basically the whole western express highway is full of potholes, it gets really dangerous to ride at 60kmph+ with inadequate visiblility, if we slow down, there would be a chance that us bikers will get rear ended, im always concentrating on the potholes while riding, and I eventually ignore to look whats ahead of mine ( turns, cars ) this is really dangerous, both for the drivers and the peds, dogs other animals, if speed kills, potholes do too.","Potholes, streetlights, poorly levelled sewer drainage",Potholes
Because of illegal dusbin people go on throwing the garbage on the road n make the area more durty n unhygienic to live as whole area smells bad . And castle\'s feed on tgis garbage.,Raod mad of garbage.,Garbage
BMC authorities are totally careless and not bothered residents suffering in this area.,"Potholes , footpath &amp; open manholes",Potholes
The potholes and irregularities on the roads of Shivani park and mahim/dadar are creating a severe inconvenience for the residents. Please get it fixed asap.,Fatal potholes.,Potholes
Please fix them,Terrible potholes everywhere,Potholes
Due to increase in potholes and patches created by laying the tar+stones the substance doesn\'t stay for a longer time. You guys can add new technologies developed for Robust coatings and construction of roads by NanoTek India. You can contact them on +919773987963 to see the stuff which they have.,Giving Chance to New Technology,Potholes
"Strict action just be taken to resolve the issue.since it is a residential area,chances of spreading diseases is much high.moreover continuous faul smell makes the place very unhigenic and unearthy to live.",Garbage dumping place,Garbage
Private cabs parked in triple parking and cars parked in no-parking near santacruz western express signal on nehru road,Car Parking,Parking
There are many stray dogs in the premises and twice in the last year they got infected and started attacking residents without provocation.Their population is going on increasing,Stray Dogs Attacking Residents,Stray Animals
Potholes on JV link road near Seepz gate 3 . And also under JV link road in Aarey colony toll gate .,Potholes on JV link road,Potholes
It is between 4pm to 6pm water is been flowing on the streets and it looks like to be clean water. Look into the issue immediately.,Water Wasteage,Water Pollution
I believe this complaint is true across whole Mumbai. Why is garbage pick up done between 8-10 am in the morning. It should start as early as 5.30 am in morning and should be over by 7 am at all locations. During peak office hours these garbage vans especially at Rk Mandir Road just blocks the whole traffic. Why isn\'t anyone making them work early morning to keep the city ready for its day and contribute in true sense to swatch Bharat abhiyan,Garbage cleaning during office hours,Garbage
